id_guest,id_host,id_listing,ts_contact_at,ts_reply_at,ts_accepted_at,ts_booking_at,ds_checkin,ds_checkout,n_guests,n_messages
86b39b70-965b-479d-a0b0-719b195acea2,1dfb22ec-c20e-4bf9-b161-1607afa25c5a,d668de42-122a-45cd-b91f-91a70895f902,18-04-2014 9:32,18-04-2014 9:39,,,31-12-2014 0:00,02-01-2015 0:00,7,5
14f943bb-74e9-458b-be55-203dc7220688,3347390d-8670-4870-9dab-da30f3700141,14c47fb8-e831-4044-9674-9b3fd0499193,06-10-2014 6:55,06-10-2014 10:06,06-10-2014 10:06,06-10-2014 10:06,03-11-2014 0:00,07-11-2014 0:00,2,8
425aa1ed-82ab-4ecf-b62f-d61e1848706d,02cafb86-5445-45cc-80f2-405291578356,c5a4a913-a094-4a9d-82e2-0b2d4f9d9eeb,04-10-2014 5:02,04-10-2014 23:10,,,02-11-2014 0:00,09-11-2014 0:00,2,2
bb490ede-8a70-4d61-a2e8-625855a393e2,f49c3095-58de-4b8d-9d5b-3bfceceb47d8,27f4b429-d544-464f-b4b5-3c09fd5992e7,31-08-2014 11:46,31-08-2014 16:48,,,03-11-2014 0:00,07-11-2014 0:00,2,5
b2fda15a-89bb-4e6e-ae81-8b21598e2482,71f1d49e-2ff4-4d72-b8e6-fd4c67feaa74,95fb78ca-8e6e-436a-9830-949d995ad14f,08-10-2014 15:07,08-10-2014 15:32,08-10-2014 15:32,08-10-2014 22:21,06-11-2014 0:00,09-11-2014 0:00,2,10
b8831610-31f2-4c58-8ada-63b3601ca476,bdd8a691-31e2-48d8-b526-6a75a4363b89,9633168d-9834-4887-af97-6af7db1d96ab,14-10-2014 4:05,14-10-2014 8:48,14-10-2014 8:48,,07-11-2014 0:00,29-11-2014 0:00,2,17
136c10f8-af53-4e5a-a5b3-d9c9c495b166,6dc86890-53d7-4d06-b767-5e117762d76b,2e6adb00-a660-465e-a85e-c8e341a5fb2f,06-12-2014 20:24,06-12-2014 20:49,06-12-2014 20:51,06-12-2014 20:51,12-12-2014 0:00,14-12-2014 0:00,2,13
9a45a950-b4f7-4f16-abe6-f9286abf2641,beeab7c3-ab4e-45d7-bde9-978de0fd8d57,c318d3e3-b36e-43b8-9b0c-3400cbca3895,11-10-2014 21:15,12-10-2014 9:17,,,24-10-2014 0:00,27-10-2014 0:00,1,3
1759c05e-f12a-4eaa-8059-3bcaca443c88,200a661e-2758-45e9-8bcc-42e32342e6bd,e465ef3d-3c26-4c46-b515-4b24d10bcdf8,31-10-2014 12:40,31-10-2014 12:55,,,31-10-2014 0:00,02-11-2014 0:00,2,3
126ed661-fa20-4041-ac16-ec118bbcce3b,a33e4240-6a0c-47b4-b866-45f9b5952c18,2d77af55-7f10-41d6-93da-383cf59082b6,03-10-2014 12:02,03-10-2014 12:05,,,25-10-2014 0:00,29-10-2014 0:00,4,2
924f864f-db83-4945-9a65-cf42a657ca68,7c0b097b-ea7c-4ea2-967a-8fe38fce6e95,f63e28a2-0f72-4b3e-8b5c-46284455ff9a,21-10-2014 20:57,21-10-2014 21:12,23-10-2014 21:04,,09-11-2014 0:00,15-11-2014 0:00,3,4
bd8f3dd6-fecc-479a-a88f-1d0049600e9f,d73772a8-efa3-445c-b9c2-0498fea9815f,5236a962-7989-4563-9d86-b3c5e5af4d6a,09-10-2014 7:46,09-10-2014 8:04,09-10-2014 8:04,09-10-2014 9:30,10-10-2014 0:00,12-10-2014 0:00,2,10
679d857b-08b8-4748-b703-86735aa42296,d7789520-e8d7-498b-88c4-e997da9b208c,7d051fe3-84d3-4234-a4cc-1f278f6bb068,11-10-2014 10:37,11-10-2014 22:30,,,03-11-2014 0:00,06-11-2014 0:00,2,4
673af82f-6a4d-4fd5-8485-4459670da9bc,fbab6ead-973c-4d1a-937c-0413c7d24fe7,c0a416ea-4260-409b-99e1-d2788d7e6308,06-10-2014 15:15,06-10-2014 15:32,06-10-2014 15:33,06-10-2014 15:33,02-11-2014 0:00,06-11-2014 0:00,1,7
b8285e97-9f11-4aec-bb05-e21f612ee41f,368e3d3c-1870-434e-99df-ff446daeecfa,50c63bda-8be1-4afa-96d0-91b0f277a9ac,01-10-2014 9:43,01-10-2014 23:55,,,03-10-2014 0:00,05-10-2014 0:00,2,3
6cbb33d1-6ecc-4f74-8b6a-a43d07d484b6,2b83ac1b-735f-41a6-ab9b-38bba7726051,fa2c5f7e-4139-4a63-91f7-49422e0d6c03,01-10-2014 15:43,02-10-2014 8:22,,,04-10-2014 0:00,07-10-2014 0:00,3,4
8375dde4-0de9-402c-8833-2127c1504601,a33e4240-6a0c-47b4-b866-45f9b5952c18,6cd0a8f1-396f-4d52-bc10-954f6c173dd0,06-10-2014 6:00,06-10-2014 17:38,,,11-10-2014 0:00,12-10-2014 0:00,1,7
a9f7ffb1-4970-492b-b448-4bd9d0fbeef3,0a62668d-ade2-4bf9-8b36-93923456378a,f8323e26-3c34-4034-a651-e54fbc45804b,09-08-2014 9:47,09-08-2014 19:26,,,15-03-2015 0:00,18-03-2015 0:00,4,4
bdaf2e68-86dd-40d9-a5a1-9cc95ea25d91,39436382-00ef-46ef-9768-1e611ae62857,98076842-d35e-4e94-a8e7-3440e31c7f8b,12-10-2014 9:14,12-10-2014 9:21,12-10-2014 9:21,12-10-2014 10:11,16-10-2014 0:00,19-10-2014 0:00,1,16
fad1a097-a511-4f44-a603-6a271c1f159e,66de508e-271c-4e97-8fc7-fa8d9ecf5018,b2601e35-4b68-4dfb-8669-256268ecd5a2,04-10-2014 18:58,05-10-2014 9:49,05-10-2014 9:49,05-10-2014 11:21,05-10-2014 0:00,06-10-2014 0:00,2,6
0a8e121b-c09c-4de1-abcc-81bce87de29e,becd48ad-623e-4821-9538-e9d8f84f1cac,dbf20ee5-e592-4659-a651-f05c10771c12,13-10-2014 21:07,13-10-2014 21:12,,,19-12-2014 0:00,20-12-2014 0:00,2,2
3e6c2466-74fe-44c0-a6f3-dda79755d30a,d5bf9afd-9572-4f60-955e-02706cc7130a,9005ae0c-4117-4cd8-b528-565cf891e4a6,09-10-2014 21:43,10-10-2014 0:03,,,26-02-2015 0:00,03-03-2015 0:00,4,5
845e3c1d-6c06-4ef2-ade5-7eecefb56fbe,eeaa1426-9aa2-4aac-850a-5fff4c677003,ac403a7c-10a9-4ef5-a828-98916195295f,10-10-2014 14:24,10-10-2014 17:15,10-10-2014 17:15,,24-10-2014 0:00,30-10-2014 0:00,1,9
598f8459-96f6-4400-8bce-1474757dd589,b441cc5d-0e8c-40b9-87a8-ae22ac8bbbd0,6b329786-9ff6-487e-bdca-fcedf5d4979f,03-10-2014 14:42,03-10-2014 14:47,,,12-03-2015 0:00,19-03-2015 0:00,2,3
ea445eea-3fac-4edd-b1d6-569f57f6abe4,64c5fd69-6246-49b7-a6a2-2b0b2ee06861,df45861e-a23b-427e-8bd3-cca7db90af02,13-10-2014 9:44,,,,24-10-2014 0:00,27-10-2014 0:00,4,1
e8e41881-d3bf-4f1e-b55e-6052eae23ef6,0e21af37-499c-499c-b5ab-c15d031ec152,fa7e4beb-d2f4-41d5-aa4d-f426652a3cfd,15-10-2014 13:04,16-10-2014 10:24,,,30-12-2014 0:00,09-01-2015 0:00,6,3
6133fb99-2391-4d4b-a077-bae40581f925,95234c4d-2aed-4e19-bb81-980d4fb38d58,4b836492-d214-4108-b7dd-f96c815920f0,06-10-2014 21:29,06-10-2014 21:37,07-10-2014 2:38,07-10-2014 2:38,31-10-2014 0:00,03-11-2014 0:00,2,16
c0075f4f-0cb0-489b-9f12-bf1dff573488,356e59fd-45d1-483b-ae8c-df4b7cd43fbd,79313e9e-371a-4c27-92ed-f2104e7ba9eb,26-09-2014 13:27,26-09-2014 17:27,,,03-10-2014 0:00,04-10-2014 0:00,4,3
02f0a750-34da-4268-94e8-f1a371f0460e,beeab7c3-ab4e-45d7-bde9-978de0fd8d57,c318d3e3-b36e-43b8-9b0c-3400cbca3895,08-10-2014 14:03,08-10-2014 15:12,09-10-2014 7:53,,11-11-2014 0:00,19-11-2014 0:00,2,4
94139517-e7e9-4afb-8b5d-bb6f306bf751,8d31dbce-fc8e-4c25-9f9b-758684a5941d,90d312e0-86a1-46b1-bb65-52eef939ca1f,10-10-2014 10:59,10-10-2014 11:03,10-10-2014 11:53,10-10-2014 11:53,17-10-2014 0:00,19-10-2014 0:00,2,15
d61d88ae-7910-4832-8116-aab4603ab3b0,a84fd08c-8bda-45d6-af26-033408ddbafc,78775b1b-3040-4505-b0c8-e7aadc91e82f,08-10-2014 19:28,08-10-2014 19:33,08-10-2014 19:33,,13-11-2014 0:00,18-11-2014 0:00,4,5
0f4ea370-702c-4f08-a00d-98e67c2a3574,5ccbd667-e9e4-4c34-839e-fb438d797925,547d204f-631f-4adc-b163-43dbc5850438,04-10-2014 20:48,05-10-2014 10:52,05-10-2014 10:52,05-10-2014 11:47,10-10-2014 0:00,13-10-2014 0:00,6,4
4de8c8ea-728a-467a-aa69-4800e8880c95,8aa37f14-6862-431e-8c39-5b8bac54c0ab,cc37c3f3-78a6-4336-9fda-25911dfee592,08-10-2014 12:45,08-10-2014 17:24,08-10-2014 17:24,,25-11-2014 0:00,19-01-2015 0:00,2,2
