hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,reviewer_nationality,negative_review,review_total_negative_word_counts,total_number_of_reviews,positive_review,review_total_positive_word_counts,total_number_of_reviews_reviewer_has_given,reviewer_score,tags,days_since_review,lat,lng
7 Western Gateway Royal Victoria Dock Newham London E16 1AA United Kingdom,359,05-07-2017 0:00,8.5,Novotel London Excel,United Kingdom,coffee and tea at breakfast were not particularly hot Otherwise everything else was fine,16,1158,we were allocated the newly refurbished rooms and so everything was fresh and the bed was very comfortable the hotel is ideally situated near City Airport although eventually we travelled by train,34,2,10,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room with Two Single Beds ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",29 days,51.508,0.023
35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,252,29-08-2015 0:00,9.1,The Chesterfield Mayfair,Israel,No Negative,0,1166,We liked everything The hotel is simply a boutique the staff were all polite and helpfull The room was clean and been serviced daily Wifi was completely free Breakfast was simply great I so much want to get back,41,8,10,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",705 day,51.508,-0.147
14 Rue Stanislas 6th arr 75006 Paris France,40,23-05-2017 0:00,9.1,Hotel Le Six,United States of America,There is currently utility construction taking place on the street in front of the hotel so a little noisy at times and barriers in place,27,177,Neat boutique hotel Some of the most comfortable hotel beds I have ever come across Staff was wonderful Loved the location Not too touristy Luxembourg gardens close by and a great place for a morning run walk,39,3,9.2,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",72 days,48.844,2.328
Gran V a De Les Corts Catalanes 570 Eixample 08011 Barcelona Spain,325,25-08-2016 0:00,8.2,Sunotel Central,United Kingdom,Coffee at breakfast could be better When you spend this amount in a hotel I expect better coffee in the morning,22,3870,Great bed nice to have a coffee machine in the room love the air conditioning and basically loved the attitude of the staff Really great,26,2,9.2,"[' Leisure trip ', ' Group ', ' Comfort Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",343 day,41.384,2.162
Rathausstra e 17 01 Innere Stadt 1010 Vienna Austria,195,17-09-2015 0:00,8.5,Austria Trend Hotel Rathauspark Wien,United Kingdom,A bit out of the way location wise,9,1884,Clean modern rooms and bathroom well equipped,9,2,7.5,"[' Leisure trip ', ' Couple ', ' Comfort Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",686 day,48.213,16.357
100 110 Euston Road Camden London NW1 2AJ United Kingdom,728,28-02-2016 0:00,8.9,Pullman London St Pancras,United Kingdom,No pool,3,3168,Breakfast,2,1,8.8,"[' Business trip ', ' Solo traveler ', ' Classic King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",522 day,51.529,-0.128
12 Folgate Street City of London London E1 6BX United Kingdom,197,28-11-2016 0:00,9.4,Batty Langley s,United Kingdom,Couldn t fault anything about this hotel,9,644,Plush luxurious room with excellent friendly staff,9,2,10,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",248 day,51.521,-0.078
252 High Holborn Holborn Camden London WC1V 7EN United Kingdom,256,13-01-2017 0:00,9.4,Rosewood London,Australia,Nothing,2,1008,Best bat in London,5,1,9.6,"[' Leisure trip ', ' Family with young children ', ' Executive King Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",202 day,51.517,-0.118
Neubaug rtel 34 36 07 Neubau 1070 Vienna Austria,106,01-10-2016 0:00,8.2,ARCOTEL Wimberger,Iran,It had not electric kettle,7,1886,Good location good stuff good breakfast,7,14,7.5,"[' Leisure trip ', ' Group ', ' Comfort Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",306 day,48.201,16.339
372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,30-08-2016 0:00,8.1,Strand Palace Hotel,United Kingdom,Room didnt have aircon,5,9568,No Positive,0,3,8.8,"[' Leisure trip ', ' Group ', ' Cosy Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",338 day,51.511,-0.121
Via Lucio Giunio Columella 36 Distretto Viale Monza 20128 Milan Italy,228,24-08-2016 0:00,8.3,Hilton Garden Inn Milan North,United Kingdom,Same breakfast daily,4,3613,Comfortable bed,3,5,7.1,"[' Leisure trip ', ' Solo traveler ', ' King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",344 day,45.516,9.227
