product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
Wacoal Women's Full Figure Basic Beauty Underwire Bra,$50.00 ,$50.00 ,https://www.amazon.com/-/dp/B005FR9XVK?th=1&psc=1,Wacoal,Bras,Amazon US,Seamless molded two-ply cups with inner sling for smooth support,4.2,960,"[ 85% Nylon/15% Spandex , Imported , Hook and Eye closure , Hand Wash , Full-coverage bra with built-in camisole strap with stretch back release , Cups with hidden inner sling for shape and support , Band and sides smooth and minimize bulge , Hook-and-eye closure ]","32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42C , 42D , 42DD , 42DDD , 42G , 42H , 44C , 44D , 44DD , 44DDD , 44G , 44H","32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42C , 42D , 42DD , 42DDD , 42G , 44C , 44D , 44DD , 44DDD , 44G , 44H",Naturally Nude
Calvin Klein Women's Bottoms Up Hipster Panty,$12.00 ,$11.00 ,https://www.amazon.com/-/dp/B007F8RVDO?th=1&psc=1,Calvin-Klein,Panties,Amazon US,"The bottoms up hipster features color prints, a refined lace trim, and a thin elasticized waistband for comfort and shape retention.",4.5,99,"[ 82%-84% Nylon 16%-18% Elastane , Imported , Machine Wash , Super soft microfiber , Lace trim ]","Small , Medium , Large","Small , Medium",Buff
Wacoal Women's Retro Chic Underwire Bra,$60.00 ,$60.00 ,https://www.amazon.com/-/dp/B007JTYQQY?th=1&psc=1,Wacoal,Bras,Amazon US,Beautiful low plunge chantilly lace bra with superior support. |Beautiful low plunge chantilly lace bra,4.4,753,"[ 82% Nylon/ 18% Spandex/Elastane , Hand Wash , Full-coverage bra featuring lace cups with mesh yoke , Band and sides smooth and minimize bulge , Seamed cups for superior lift, shape, and support , Leotard back ]","30B , 30D , 32B , 32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 34I , 36C , 36D , 36DD , 36DDD , 36G , 36H , 36I , 38C , 38D , 38DD , 38DDD , 38G , 38H , 38I , 40C , 40D , 40DD , 40DDD , 40G , 40H , 40I , 42D , 42DD , 42DDD , 42G , 42H , 44D , 44DD , 44DDD , 44G , 44H , 46D , 46DD , 46DDD , 46G , 46H , 48H","32D , 32DD , 32DDD , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42D , 42DD , 42DDD",Ivory
Calvin Klein Women's Carousel 3 Pack Thong,$33.00 ,$19.99 ,https://www.amazon.com/-/dp/B01MZ8D589?th=1&psc=1,Calvin-Klein,Panties,Amazon US,This carousel thong 3-pack features classic cotton blend fabrication and an iconic Calvin Klein repeating logo waistband.,4,2,"[ Cotton , Imported , Contrasting elasticized Calvin Klein logo waistband , Cotton gusset , Three low-rise thong panties each featuring logoed waistband and cotton gusset ]","Women's Large / 12-14 , Small , Medium , Large","Medium , Large",Salvia/Grey Heather/Sultry
b.tempt'd by Wacoal Women's Lace Kiss Bralette,$18.00 ,$11.65 ,https://www.amazon.com/-/dp/B00SHYSSGE?th=1&psc=1,b-temptd,Bras,Amazon US,Lace kiss bralette has soft allover lace that make a beautiful underpinning,4,512,"[ 100% Nylon , Imported , Hand Wash , Lace bralette featuring semi-sheer cups, scalloped trim, and adjustable straps ]","Small , Medium , Large , X-Large",Medium,Night/Animal Accent
Wacoal Women's Front Close T-Back Bra,$46.00 ,$46.00 ,https://www.amazon.com/-/dp/B0000ZBUUO?th=1&psc=1,Wacoal,Bras,Amazon US,"Pure comfort in a seamless molded front close t-back bra |Body by Wacoal T-back has softness, comfort and the functional advantages of Supplex. This is a great option for those who prefer a front closure bra for convenience. This style offers comfort and is necessary for tops that have under deep or cutout armholes- it prevents straps from slipping off of shoulders.",4.2,730,"[ Fabric: 87% Nylon , 13% Spandex; Top cup: 100% Nylon , Imported , Hand Wash , Contour bra with mesh insert at cups and barrel-front closure , Fabric gives you the look and feel of cotton with the benefits of advanced fiber technology , Kicked in adjustable straps for sleeveless attire , Secure barrel front closure , Low center front ]","32C , 32D , 32DD , 34B , 34C , 34D , 34DD , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD","32C , 32D , 32DD , 34B , 34C , 34D , 34DD , 36B , 36C , 36D , 36DD , 38B , 38C , 38DD",Black
Calvin Klein Women's Modern Cotton Bralette and Bikini Set,$44.00 ,$44.00 ,https://www.amazon.com/-/dp/B01MY7AXLL?th=1&psc=1,Calvin-Klein,Panties,Amazon US,A bralette and bikini set in soft cotton for breathable comfort,4.6,104,"[ 53% Cotton, 35% Modal, 12% Elastane , Imported , Machine Wash , Two-piece set featuring racerback sport bra and bikini panty with logoed elastic bands , Cotton gusset on panty ]","X-Small , Small , Medium , Large","Small , Large",Medium
Calvin Klein Women's 3 Pack Invisibles Hipster Panty,$33.00 ,$29.75 ,https://www.amazon.com/-/dp/B01IOZSE6Y?th=1&psc=1,Calvin-Klein,Panties,Amazon US,This sleek hipster features seam-free edges that are invisible under clothes.,3.9,90,"[ 72% Nylon, 28% Elastane , Imported , Hand Wash , Eliminates panty lines , Laser cut , Cotton panel ]","X-Small , Small , Medium , Large , X-Large","Small , Medium , X-Large","Speakeasy, Light Caramel, Black"
Wacoal Womens Basic Beauty Contour T-Shirt Bra,$55.00 ,$11.95 ,https://www.amazon.com/-/dp/B00DS4TDW6?th=1&psc=1,Wacoal,Bras,Amazon US,"Basic beauty contour spacer will offer great support in a breathable, soft, lightweight fabrication |Basic beauty contour spacer will offer great support in a breathable, soft, lightweight fabrication",4.2,585,"[ 85% Polyester, 15% Spandex , Imported , Hook and Eye closure , Hand Wash , Full-coverage t-shirt bra featuring scalloped trim with ribbon applique at center , Built-up camisole strap with stretch back release , Kicked in back for non-slip straps ,C, D, DD cups have 3 hooks and eyes, DDD and G cups have 4 hooks and eyes,underwire]","30D , 30DD , 30DDD , 32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD , 40G , 42D , 42DD , 42DDD , 44D , 44DD , 44DDD","30D , 30DD , 30DDD , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD , 40G , 42D , 42DD , 42DDD , 44D , 44DD , 44DDD",Black
Wacoal Women's Underwire Sport Bra,$65.00 ,$65.00 ,https://www.amazon.com/-/dp/B014TKFKHY?th=1&psc=1,Wacoal,Bras,Amazon US,"Sport bra offers great control, support and comfort for workouts or as your everyday bra |Wacoal Underwire Sport Bra",4.3,1879,"[ 80% Nylon/ 20% Spandex/Elastane , Imported , Hook and Eye closure , Hand Wash , Maximum Support for high impact activities.Great choice for full busted and full figured women , Two-ply fabric cups and floating underwire frame keep breast motion to a minimum , Outside underwire frame and shoulder strap adjustment designed to minimize chaffing ,Moisture-wicking athletic bra featuring triple hook-and-eye closure on back,Inner sling for extra support in G and H cup sizes]","32C , 32D , 32DD , 32DDD , 32G , 32H , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42D , 42DD , 42DDD","32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DDD , 40G",Platinum/Fuchsia
Hanky Panky Women's Vikini Panty,$30.00 ,$30.00 ,https://www.amazon.com/-/dp/B00B4T3CBA?th=1&psc=1,Hanky-Panky,Panties,Amazon US,"Hanky Panky's revolutionarily flattering V-front, V-back waistband-our signature design for over 25 years.",4,46,"[ This adorable V-kini provides moderate coverage , Comfy, seamless waistband disappears under clothes , 5'' low rise; measurement taken from size Medium , Soft, stretch signature lace with cotton panel ]","XS, S, M, L, XL, 1X, 2X, 3X , Small , Medium , Large , X-Large","Small , Medium , Large",Marshmallow
