product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
Sheer Enough Sheer Lace Hipster 845253,$48.00 ,$33.60 ,http://www1.macys.com/shop/product/wacoal-sheer-enough-sheer-lace-hipster-845253?ID=2502262&CategoryID=65739,Wacoal,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,"Lovely, light and perfectly unique. This sheer lace and mesh hipster from Wacoal is whisper-soft beneath your favorite outfits.",,,"[""Mesh and lace front and back panels"", ""Lined at gusset"", ""Nylon/spandex; gusset: cotton"", ""Hand wash"", ""Imported"", ""Web ID: 2502262""]","[""S"", ""M"", ""XL""]","[""S"", ""M"", ""XL""]",High Rise
Retro Chic Contour Bra 853186,$65.00 ,$45.50 ,http://www1.macys.com/shop/product/wacoal-retro-chic-contour-bra-853186?ID=4355583&CategoryID=65739,Wacoal,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,"Superb support and lovely, feminine details come together in this seamless, full coverage, molded bra from Wacoal.",5,3,"[""Adjustable, restricted, stretch straps with back release"", ""Kicked-in back straps"", ""Seamless, underwire, full-coverage cups with supportive spacers"", ""Two needle wire cover"", ""Triple back hook-and-eye closure"", ""Polyester/spandex; lace: nylon"", ""Hand wash"", ""Imported"", ""Web ID: 4355583""]","[""32D"", ""42DD"", ""44D"", ""44DD"", ""44DDD""]","[""32D"", ""42DD"", ""44D"", ""44DD"", ""44DDD""]",White
b.splendid Seamless Hipster 978255,$13.00 ,$13.00 ,http://www1.macys.com/shop/product/b.temptd-by-wacoal-b.splendid-seamless-hipster-978255?ID=4427348&CategoryID=55805,b.tempt'd by Wacoal,Women - Lingerie & Shapewear - Panties,Macys US,"Soft, sleek heather fabric is seamlessly designed for the smoothest look yet in the b.splendid hipster from b.tempt'd by Wacoal.",,,"[""Elastic waistband"", ""Smooth stitching at the leg openings for no visible panty lines"", ""Lined at gusset"", ""Nylon/polyester/spandex; gusset: cotton/spandex"", ""Hand wash"", ""Imported"", ""Web ID: 4427348""]","[""S"", ""M"", ""L"", ""XL""]","[""S"", ""M"", ""L"", ""XL""]",Limoges/Heather
Icon Modern T-Shirt Bra F3646,$42.00 ,$42.00 ,http://www1.macys.com/shop/product/calvin-klein-icon-modern-t-shirt-bra-f3646?ID=926021&CategoryID=65739,Calvin Klein,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,Make sure you add this style to your collection. Calvin Klein's Icon Modern T-Shirt Bra features seamless contour demi cups with encased wire for extra support. Style #F3646,4.6,17,"[""Fully-adjustable straps"", ""Seamless, contour demi cups with encased wire for support"", ""Mesh wings with picot trim and mesh at center gore"", ""Padded closure for comfort"", ""Nylon/elastane"", ""Hand wash"", ""Imported"", ""Web ID: 926021"", ""Halter strap at back neck"", ""Unlined, wireless cups"", ""Wide lace band under bust"", ""Pull-on style"", ""Cotton/elastane"", ""Hand wash"", ""Imported""]","[""32A"", ""32B"", ""32C"", ""32D"", ""32DD"", ""34A"", ""34B"", ""34C"", ""34D"", ""34DD"", ""36A"", ""36B"", ""36C"", ""36D"", ""36DD"", ""38B"", ""38C"", ""38D"", ""38DD""]","[""32A"", ""32B"", ""32C"", ""32D"", ""34A"", ""34B"", ""34C"", ""34D""]",Smoke
Jogger Pants QS5716,$58.00 ,$58.00 ,http://www1.macys.com/shop/product/calvin-klein-modern-cotton-jogger-pants-qs5716?ID=3676035&CategoryID=65739,Calvin Klein Modern Cotton,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,A super soft cotton-blend makes these jogger pants from Calvin Klein the perfect choice when you're looking for total comfort.,,,"[""Wide elastic waistband features logo"", ""Off-seam pockets"", ""Full-length with ribbed cuffs"", ""Cotton/polyester"", ""Machine washable"", ""Imported"", ""Web ID: 3676035"", ""Halter strap at back neck"", ""Unlined, wireless cups"", ""Wide lace band under bust"", ""Pull-on style"", ""Cotton/elastane"", ""Hand wash"", ""Imported""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",Black
Lace Padded Bralette 487004,$58.00 ,$58.00 ,http://www1.macys.com/shop/product/hanky-panky-lace-padded-bralette-487004?ID=2435395&CategoryID=65739,Hanky Panky,Women - Lingerie & Shapewear - Bras,Macys US,A bralette from Hanky Panky utterly allures with dark lace and a removable padded design.,,,"[""Allover lace body with trims throughout"", ""Adjustable straps"", ""Removable pads "", ""Pullover style"", ""Nylon; lining/trim: nylon/spandex; bra pads: polyester"", ""Hand wash"", ""Made in USA"", ""Web ID: 2435395""]","[""XXS"", ""XS"", ""S"", ""M""]","[""S""]",Chai
Signature Lace Plus Size Original Rise Thong 4811X,$22.00 ,$22.00 ,http://www1.macys.com/shop/product/hanky-panky-signature-lace-plus-size-original-rise-thong-4811x?ID=1082688&CategoryID=65739,Hanky Panky,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,"You can't go wrong with Hanky Panky's signature fit, feel and comfort. The Signature Lace Original Thong is made of beautiful, soft lace and has a flattering v-shaped waistband. Best of all-there's no visible panty line! Style #4811X",5,1,"[""One size fits 14-24"", ""Soft lace"", ""V-shaped waistband"", ""Lined at gusset"", ""Body: Nylon; Trim: Nylon/spandex; Lining: cotton"", ""Hand wash"", ""Made in USA"", ""Web ID: 1082688""]","[""OS""]","[""OS""]",Granite
Icon Modern T-Shirt Bra F3646,$42.00 ,$42.00 ,http://www1.macys.com/shop/product/calvin-klein-icon-modern-t-shirt-bra-f3646?ID=926021&CategoryID=65739,Calvin Klein,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,Make sure you add this style to your collection. Calvin Klein's Icon Modern T-Shirt Bra features seamless contour demi cups with encased wire for extra support. Style #F3646,4.6,17,"[""Fully-adjustable straps"", ""Seamless, contour demi cups with encased wire for support"", ""Mesh wings with picot trim and mesh at center gore"", ""Padded closure for comfort"", ""Nylon/elastane"", ""Hand wash"", ""Imported"", ""Web ID: 926021"", ""Halter strap at back neck"", ""Unlined, wireless cups"", ""Wide lace band under bust"", ""Pull-on style"", ""Cotton/elastane"", ""Hand wash"", ""Imported""]","[""32A"", ""32B"", ""32C"", ""32D"", ""32DD"", ""34A"", ""34B"", ""34C"", ""34D"", ""34DD"", ""36A"", ""36B"", ""36C"", ""36D"", ""36DD"", ""38B"", ""38C"", ""38D"", ""38DD""]","[""32A"", ""32B"", ""32C"", ""32D"", ""34A"", ""34B"", ""34C"", ""34D""]",Smoke
I Do Original Rise Thong 6511,$31.00 ,$31.00 ,http://www1.macys.com/shop/product/hanky-panky-i-do-original-rise-thong-6511?ID=1774020&CategoryID=65739,Hanky Panky,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,"You can't go wrong with Hanky Panky's signature fit, feel and comfort. The Signature Original Rise Thong is made of beautiful, soft lace and has a flattering v-shaped waistband. Best of all--there's no visible panty line! This style is perfect for your special day--it has the words ""I Do"" in rhinestones on the waistband. Style #6511",,,"[""One size fits sizes 4-14"", ""Soft lace"", ""V-shaped waistband"", ""Lined at gusset"", ""Nylon/spandex; gusset: cotton"", ""Hand wash"", ""Made in USA"", ""Web ID: 1774020""]","[""OS""]","[""OS""]",White
Embrace Lace Soft Cup Wireless Bra 852191,$38.00 ,$38.00 ,http://www1.macys.com/shop/product/wacoal-embrace-lace-soft-cup-wireless-bra-852191?ID=1940063&CategoryID=65739,Wacoal,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,This gorgeous lacy style features two-section lace cups with camisole straps. The wide stretch elastic bottom band adds comfort. The Embrace Lace Soft Cup Wireless Bra by Wacoal. Style #852191,3.9,11,"[""Two-section lace cups with camisole straps"", ""Two-ply stretch wings"", ""Wide stretch elastic bottom band"", ""Adjustable j-hook on back strap "", ""Nylon/spandex; lace: nylon/polyester/spandex"", ""Hand wash"", ""Imported"", ""Web ID: 1940063""]","[""30"", ""32"", ""34"", ""36"", ""38"", ""40""]","[""30"", ""32"", ""34"", ""36"", ""38"", ""40""]",Tango Red/Coral Blush
