product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
MATERNITY Criss Cross Knickers, $20.00, $20.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/maternity-criss-cross-knickers-6744809,US TOPSHOP,Lingerie,Topshop US,"These feminine black knickers for maternity features a criss cross detailing that adds a stylish hint to your under layer. Pair with the matching criss cross bra for a polished co-ord. 78% Polyamide, 22% Elastane. Machine wash.",NULL,NULL,NULL,"4,6,8,10,12","4,6,8,10,12",BLACK
Floral Lace Triangle Bra, $35.00, $35.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-lace-triangle-bra-thong-set-6614015,US TOPSHOP,Lingerie,Topshop US,"In an appealing burnt orange tint, this low rise floral lace thong and matching non-padded triangle bra will add colour to your lingerie draw. 90% Polyamide, 10% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","2,8,10,12",
Floral Lace Thong, $20.00, $20.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-lace-triangle-bra-thong-set-6614015,US TOPSHOP,Lingerie,Topshop US,"In an appealing burnt orange tint, this low rise floral lace thong and matching non-padded triangle bra will add colour to your lingerie draw. 90% Polyamide, 10% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",
Mesh French Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/mesh-french-knickers-6764085,US TOPSHOP,Lingerie,Topshop US,"Indulge your playful side with these sheer mesh french knickers, complete with a lace trim. A flattering cut at the back makes these the perfect pants for any occasion. 88% Polyester, 12% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12,14","4,6,10,12",RASPBERRY
Floral Lace Thong, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-lace-thong-5718670,US TOPSHOP,Lingerie,Topshop US,"Keep slinky silhouettes seam-free with this lace thong underneath. A semi-sheer style with a low rise waist. 89% Polyamide, 11% Elastane. Machine wash.",3,1,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",BLACK
Embroidered Bralet, $45.00, $45.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/embroidered-bralet-6688829,US TOPSHOP,Lingerie,Topshop US,"Fall in love with this elegant black bralet complete with gorgeous floral lace embroidery. Styled with strap detail at the front, underwired cups and adjustable straps, it's finished with multiple hook and eye fastenings. 84% Polyamide, 16% Elastane. Machine wash.",NULL,NULL,NULL,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D",BLACK
Padded Lace Triangle Bra, $30.00, $30.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/padded-lace-triangle-bra-6765320,US TOPSHOP,Lingerie,Topshop US,"In a dark nude shade, this elegant padded lace triangle bra boasts a contrast waistband, racerback and adjustable straps. 89% Nylon, 11% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",Dark Nude
Lace Thong, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/lace-thong-6542989,US TOPSHOP,Lingerie,Topshop US,"Bubblegum pink lace thong. 89% Nylon, 11% Elastane. Machine wash.",1,1,NULL,"2,4,6,8,10,12,14","2,4,6,8,10,12",Bubblegum Pi
Branded Jersey Crop Top, $15.00, $15.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/topshop-branded-jersey-crop-top-mini-knickers-set-6833496,US TOPSHOP,Lingerie,Topshop US,"This simple black lingerie set features a branded jersey crop top and matching jersey mini knickers. 93% Cotton, 7% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12,14","2,4,6,8,10,12",
Branded Jersey Mini Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/topshop-branded-jersey-crop-top-mini-knickers-set-6833496,US TOPSHOP,Lingerie,Topshop US,"This simple black lingerie set features a branded jersey crop top and matching jersey mini knickers. 93% Cotton, 7% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12,14","2,4,6,8,10,12",
