name,amg_movie_id,movie_title,role_type,rating,year,id
Gerard Depardieu,V 481149,Life of Pi,Normal Acting,7,2012,8
Helena Bonham Carter,V 550476,The Lone Ranger,Normal Acting,4,2013,383
Helena Bonham Carter,V 529187,Dark Shadows,Normal Acting,2,2012,384
Helena Bonham Carter,V 537999,Great Expectations,Normal Acting,5,2012,385
Helena Bonham Carter,V 543275,Les Mis??rables,Normal Acting,5,2012,386
Jacki Weaver,V 576301,Parkland,Normal Acting,5,2013,445
Jacki Weaver,V 542493,Stoker,Normal Acting,5,2013,446
Jacki Weaver,V 548463,Silver Linings Playbook,Normal Acting,8,2012,448
Jacki Weaver,V 539495,The Five-Year Engagement,Normal Acting,7,2012,449
Anna Kendrick,V 578517,Drinking Buddies,Normal Acting,5,2013,469
Anna Kendrick,V 573471,Rapture-Palooza,Normal Acting,4,2013,470
Anna Kendrick,V 559767,End of Watch,Normal Acting,5,2012,471
Anna Kendrick,V 551673,ParaNorman,Voice,5,2012,472
Anna Kendrick,V 566168,Pitch Perfect,Normal Acting,6,2012,473
Anna Kendrick,V 545862,The Company You Keep,Normal Acting,4,2012,474
Anna Kendrick,V 540256,What to Expect When You're Expecting,Normal Acting,3,2012,475
Jacki Weaver,V 562753,Wild Oats,Normal Acting,,2013,447
Pen_lope Cruz,V 558142,The Counselor,Normal Acting,3,2013,490
Pen_lope Cruz,V 537879,To Rome With Love,Normal Acting,5,2012,491
Pen_lope Cruz,V 571230,Twice Born,Co-producer,3,2012,494
Pen_lope Cruz,V 571230,Twice Born,Normal Acting,3,2012,495
Melanie Griffith,V 585690,Dark Tourist,Normal Acting,4,2012,947
Peter Fonda,V 551037,As Cool as I Am,Normal Acting,2,2013,1177
Peter Fonda,V 580117,Copperhead,Normal Acting,2,2013,1178
Peter Fonda,V 584083,The Ultimate Life,Normal Acting,2,2013,1180
Liv Ullmann,V 570604,Liv & Ingmar,Participant,7,2012,1333
Demi?n Bichir,V 563549,Machete Kills,Normal Acting,7,2013,1412
Demi?n Bichir,V 569643,The Heat,Normal Acting,5,2013,1413
Demi?n Bichir,V 538360,Savages,Normal Acting,6,2012,1414
Oprah Winfrey,V 559020,Lee Daniels' The Butler,Normal Acting,5,2013,1490
Oprah Winfrey,V 576222,Running From Crazy,Executive Producer,7,2013,1491
Oprah Winfrey,V 558474,Decoding Deepak,Participant,4,2012,1492
Gena Rowlands,V 571246,Yellow,Normal Acting,3,2012,1547
Susan Sarandon,V 571777,Snitch,Normal Acting,5,2013,1717
Susan Sarandon,V 546685,The Big Wedding,Normal Acting,4,2013,1718
Susan Sarandon,V 555033,Arbitrage,Normal Acting,6,2012,1720
Susan Sarandon,V 545241,Cloud Atlas,Normal Acting,4,2012,1721
Susan Sarandon,V 570924,How to Make Money Selling Drugs,Normal Acting,6,2012,1722
Susan Sarandon,V 546488,"Jeff, Who Lives at Home",Normal Acting,6,2012,1725
Susan Sarandon,V 554489,Robot & Frank,Normal Acting,6,2012,1727
Susan Sarandon,V 535472,That's My Boy,Normal Acting,4,2012,1728
Susan Sarandon,V 545862,The Company You Keep,Normal Acting,4,2012,1729
Philip Seymour Hoffman,V 570448,A Most Wanted Man,Normal Acting,8,2014,1888
Philip Seymour Hoffman,V 579425,Salinger,Participant,6,2013,1892
Philip Seymour Hoffman,V 546935,The Hunger Games: Catching Fire,Normal Acting,7,2013,1893
Philip Seymour Hoffman,V 570791,A Late Quartet,Normal Acting,6,2012,1895
Philip Seymour Hoffman,V 537713,The Master,Normal Acting,6,2012,1896
Forest Whitaker,V 579025,Black Nativity,Normal Acting,3,2013,1950
Forest Whitaker,V 575941,Fruitvale Station,Producer,7,2013,1951
Forest Whitaker,V 559020,Lee Daniels' The Butler,Normal Acting,5,2013,1952
Forest Whitaker,V 562459,Out of the Furnace,Normal Acting,5,2013,1953
Forest Whitaker,V 545333,The Last Stand,Normal Acting,4,2013,1957
Forest Whitaker,V 570257,A Dark Truth,Normal Acting,2,2012,1959
Forest Whitaker,V 572766,Rising From Ashes,Executive Producer,5,2012,1960
Forest Whitaker,V 572766,Rising From Ashes,Voice,5,2012,1961
Holly Hunter,V 549522,Paradise,Normal Acting,3,2013,2181
Holly Hunter,V 562554,Jackie,Normal Acting,3,2012,2184
Holly Hunter,V 554109,Won't Back Down,Normal Acting,4,2012,2186
Natalie Portman,V 546686,Thor: The Dark World,Normal Acting,7,2013,2615
Debbie Reynolds,V 523760,One for the Money,Normal Acting,4,2012,2667
Shirley Jones,V 577039,Family Weekend,Normal Acting,2,2012,2896
Shohreh Aghdashloo,V 550480,Percy Jackson: Sea of Monsters,Voice,5,2013,3036
Jonah Hill,V 563430,The Wolf of Wall Street,Normal Acting,7,2013,3149
Jonah Hill,V 564269,This Is the End,Normal Acting,5,2013,3150
Jonah Hill,V 511342,21 Jump Street,Executive Producer,8,2012,3152
Jonah Hill,V 511342,21 Jump Street,Normal Acting,8,2012,3153
Jonah Hill,V 511342,21 Jump Street,Screen Story,8,2012,3154
Jonah Hill,V 511342,21 Jump Street,Screenwriter,8,2012,3155
Jonah Hill,V 538627,Django Unchained,Normal Acting,5,2012,3156
Jonah Hill,V 547456,The Watch,Normal Acting,3,2012,3157
Elisabeth Shue,V 550479,Chasing Mavericks,Normal Acting,5,2012,3184
Elisabeth Shue,V 538353,House at the End of the Street,Normal Acting,3,2012,3187
Cathy Moriarty,V 583685,The Double,Normal Acting,5,2014,3509
Cathy Moriarty,V 578762,Once Upon a Time in Brooklyn,Normal Acting,1,2012,3510
William H. Macy,V 576888,A Single Shot,Normal Acting,5,2013,3549
William H. Macy,V 554777,The Sessions,Normal Acting,7,2012,3554
Andy Garcia,V 570257,A Dark Truth,Executive Producer,2,2012,3983
