name,amg_person_id,top_genre,birthday,id
Spencer Tracy,P 71578,Drama,05-04-1900,1
Helen Hayes,P 31226,Drama,10-10-1900,2
Jean Arthur,P 2459,Comedy,17-10-1900,3
Agnes Moorehead,P 50390,Comedy,06-12-1900,4
Katina Paxinou,P 55568,Drama,17-12-1900,5
Mildred Dunnock,P 20663,Drama,25-01-1901,6
Clark Gable,P 10097,Drama,01-02-1901,7
Ed Begley,P 5006,Drama,25-03-1901,8
Melvyn Douglas,P 19878,Drama,05-04-1901,9
Gary Cooper,P 14817,Drama,07-05-1901,10
Vittorio De Sica,P 87213,Drama,07-07-1901,11
James Dunn,P 20621,Drama,02-11-1901,12
Lee Strasberg,P 68625,Crime,17-11-1901,13
Stuart Erwin,P 22072,Comedy,14-02-1902,14
Flora Robson,P 60865,Drama,28-03-1902,15
Brian Aherne,P 499,Drama,02-05-1902,16
Norma Shearer,P 65025,Drama,10-08-1902,17
John Houseman,P 94949,Drama,22-09-1902,18
Elsa Lanchester,P 40228,Comedy,28-10-1902,19
Ralph Richardson,P 60087,Drama,19-12-1902,20
Bing Crosby,P 15874,Comedy,03-05-1903,21
Anne Revere,P 59718,Drama,25-06-1903,22
Chill Wills,P 76661,Western,18-07-1903,23
Claudette Colbert,P 14003,Drama,13-09-1903,24
Dean Jagger,P 35003,Drama,07-11-1903,25
Jack Oakie,P 53725,Comedy,12-11-1903,26
Una Merkel,P 48558,Comedy,10-12-1903,27
Cary Grant,P 28204,Comedy,18-01-1904,28
John Gielgud,P 26803,Drama,14-04-1904,29
Robert Montgomery,P103333,Drama,21-05-1904,30
Ralph Bellamy,P 5165,Drama,17-06-1904,31
Gladys George,P 26459,Drama,13-09-1904,32
Greer Garson,P 26066,Drama,29-09-1904,33
Ray Milland,P102824,Drama,03-01-1905,34
Thelma Ritter,P 60402,Comedy,14-02-1905,35
Robert Donat,P 19618,Drama,18-03-1905,36
Henry Fonda,P 24097,Drama,16-05-1905,37
Mildred Natwick,P 51957,Comedy,19-06-1905,38
Thomas Gomez,P 27572,Drama,10-07-1905,39
William Gargan,P 25942,Drama,17-07-1905,40
Leo Genn,P 26399,Drama,09-08-1905,41
Greta Garbo,P 25821,Drama,18-09-1905,42
Mischa Auer,P 2817,Comedy,17-11-1905,43
William Bendix,P 5281,Drama,04-01-1906,44
Eddie Albert,P 669,Comedy,22-04-1906,45
Mary Astor,P 2657,Drama,03-05-1906,46
George Sanders,P 62948,Drama,03-07-1906,47
John Huston,P 95260,Drama,05-08-1906,48
Joan Blondell,P 6812,Comedy,30-08-1906,49
Janet Gaynor,P 26244,Drama,06-10-1906,50
Hermione Baddeley,P 3187,Comedy,13-11-1906,51
Alexander Knox,P 38853,Drama,16-01-1907,52
Katharine Hepburn,P 31873,Drama,12-05-1907,53
Sir Laurence Olivier,P105057,Drama,22-05-1907,54
Laurence Olivier,P105057,Drama,22-05-1907,55
John Wayne,P116130,Western,26-05-1907,56
Jack Albertson,P 695,Comedy,16-06-1907,57
Barbara Stanwyck,P 67643,Drama,16-07-1907,58
