id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
3520,Guillermo J. Amparan,M,,,,Mexico,MEX,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 800 metres,
35394,Henry John Finchett,M,,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Rings,
21918,Georg Frederik Ahrensborg Clausen,M,28,,,Denmark,DEN,1924 Summer,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Individual",
110345,"Marinus Cornelis ""Dick"" Sigmond",M,26,,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,
54193,"Thodore ""Tho"" Jeitz",M,26,,,Luxembourg,LUX,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Individual All-Around,
23240,Charles Barney Cory,M,47,180,,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,
85019,Nicolaas Johannes Nederpeld,M,37,,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Foil, Individual",
25934,Jan Johannes de Blcourt,M,47,,,Netherlands,NED,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Free Pistol, 50 yards",
35191,John Charles Field-Richards,M,29,,,Gyrinus-1,GBR,1908 Summer,1908,Summer,London,Motorboating,Motorboating Mixed B-Class (Under 60 Feet),Gold
4073,Andreac,M,,,,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's epee, Individual",
120786,Pierre Tolar,M,,,,Luxembourg,LUX,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Rings,
33723,"August Oliver ""Gus"" Fager (Fagerstrm-)",M,32,178,61,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's Cross-Country, Team",Silver
82480,Mosso,M,,,,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's epee, Individual",
18257,Gustaf Vilhelm Carlberg,M,44,,,Sweden,SWE,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
27874,Destin Destine,M,,,,Haiti,HAI,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Bronze
5831,"Sidney James Montford ""Sid"" Atkinson",M,23,186,76,South Africa,RSA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,Silver
