user_id,occurred_at,experiment,experiment_group,location,device
11,24-06-2014 9:31,publisher_update,test_group,Germany,nexus 5
19,11-06-2014 9:31,publisher_update,control_group,Australia,windows surface
45,13-06-2014 9:31,publisher_update,test_group,Brazil,macbook pro
46,13-06-2014 9:31,publisher_update,control_group,Poland,nokia lumia 635
52,02-06-2014 9:31,publisher_update,control_group,Italy,nexus 5
57,02-06-2014 9:31,publisher_update,control_group,Korea,samsung galaxy s4
62,02-06-2014 15:39,publisher_update,test_group,Taiwan,nexus 10
88,11-06-2014 9:31,publisher_update,control_group,United States,macbook air
108,26-06-2014 9:31,publisher_update,control_group,Mexico,hp pavilion desktop
111,19-06-2014 9:31,publisher_update,test_group,Japan,iphone 5
118,04-06-2014 9:12,publisher_update,test_group,Brazil,iphone 5
139,16-06-2014 9:31,publisher_update,control_group,Portugal,lenovo thinkpad
143,02-06-2014 9:31,publisher_update,control_group,Belgium,ipad air
150,17-06-2014 9:31,publisher_update,control_group,United States,macbook pro
162,17-06-2014 9:31,publisher_update,test_group,Canada,iphone 5s
171,04-06-2014 9:31,publisher_update,control_group,Germany,hp pavilion desktop
175,11-06-2014 9:31,publisher_update,test_group,Russia,windows surface
182,02-06-2014 10:41,publisher_update,control_group,Japan,acer aspire desktop
184,19-06-2014 9:31,publisher_update,test_group,Korea,asus chromebook
194,27-06-2014 9:31,publisher_update,control_group,United Kingdom,macbook pro
203,02-06-2014 9:31,publisher_update,control_group,Germany,macbook air
209,02-06-2014 9:31,publisher_update,control_group,Germany,nokia lumia 635
217,30-06-2014 9:31,publisher_update,control_group,Indonesia,iphone 4s
235,11-06-2014 9:31,publisher_update,control_group,United States,macbook air
236,11-06-2014 9:31,publisher_update,test_group,United Kingdom,lenovo thinkpad
238,11-06-2014 9:31,publisher_update,control_group,Venezuela,macbook pro
240,04-06-2014 9:31,publisher_update,control_group,United States,dell inspiron desktop
262,03-06-2014 9:43,publisher_update,control_group,Russia,samsung galaxy s4
264,05-06-2014 9:23,publisher_update,test_group,Venezuela,dell inspiron desktop
267,13-06-2014 9:31,publisher_update,test_group,Korea,lenovo thinkpad
272,13-06-2014 9:31,publisher_update,control_group,United States,lenovo thinkpad
287,23-06-2014 9:31,publisher_update,test_group,United States,iphone 4s
292,09-06-2014 9:31,publisher_update,control_group,United Kingdom,htc one
306,10-06-2014 9:31,publisher_update,control_group,United States,macbook air
313,04-06-2014 9:31,publisher_update,test_group,United States,iphone 4s
334,12-06-2014 9:31,publisher_update,test_group,Japan,lenovo thinkpad
352,13-06-2014 9:31,publisher_update,test_group,India,samsung galaxy s4
356,23-06-2014 9:31,publisher_update,control_group,Brazil,ipad air
358,02-06-2014 9:31,publisher_update,control_group,Italy,nexus 5
383,03-06-2014 9:31,publisher_update,control_group,United Kingdom,dell inspiron desktop
393,07-06-2014 14:59,publisher_update,control_group,France,macbook pro
397,04-06-2014 9:31,publisher_update,control_group,France,acer aspire notebook
423,06-06-2014 9:31,publisher_update,test_group,United States,lenovo thinkpad
431,16-06-2014 9:31,publisher_update,control_group,Saudi Arabia,dell inspiron desktop
432,23-06-2014 9:31,publisher_update,test_group,United States,lenovo thinkpad
451,17-06-2014 9:31,publisher_update,control_group,Spain,iphone 4s
456,17-06-2014 9:31,publisher_update,control_group,United Kingdom,dell inspiron notebook
486,26-06-2014 9:31,publisher_update,control_group,United States,lenovo thinkpad
508,02-06-2014 9:31,publisher_update,control_group,United Kingdom,iphone 4s
518,02-06-2014 9:31,publisher_update,control_group,France,iphone 5
527,17-06-2014 9:31,publisher_update,control_group,Australia,htc one
555,05-06-2014 6:07,publisher_update,control_group,United States,macbook pro
557,26-06-2014 9:31,publisher_update,control_group,Brazil,iphone 5
558,12-06-2014 9:31,publisher_update,test_group,Korea,iphone 5s
585,05-06-2014 15:42,publisher_update,control_group,Germany,dell inspiron notebook
595,09-06-2014 9:31,publisher_update,control_group,Netherlands,macbook pro
647,05-06-2014 9:31,publisher_update,test_group,Spain,samsung galaxy s4
658,06-06-2014 9:31,publisher_update,control_group,Poland,macbook pro
678,02-06-2014 9:31,publisher_update,test_group,United States,htc one
699,24-06-2014 9:31,publisher_update,control_group,United States,iphone 5s
705,05-06-2014 18:09,publisher_update,control_group,United Kingdom,macbook air
713,02-06-2014 10:03,publisher_update,control_group,United States,samsung galaxy s4
715,07-06-2014 9:44,publisher_update,test_group,Saudi Arabia,kindle fire
716,04-06-2014 9:31,publisher_update,test_group,United States,samsung galaxy s4
722,05-06-2014 9:31,publisher_update,control_group,Russia,hp pavilion desktop
738,13-06-2014 9:31,publisher_update,control_group,United States,nexus 5
749,07-06-2014 7:49,publisher_update,test_group,Sweden,macbook pro
765,07-06-2014 8:09,publisher_update,test_group,Japan,nexus 5
771,16-06-2014 9:31,publisher_update,control_group,United States,nexus 5
777,04-06-2014 13:05,publisher_update,control_group,Japan,iphone 5s
793,11-06-2014 9:31,publisher_update,control_group,Saudi Arabia,nexus 7
797,03-06-2014 10:53,publisher_update,test_group,United States,macbook pro
805,05-06-2014 9:31,publisher_update,test_group,France,iphone 5s
811,19-06-2014 9:31,publisher_update,test_group,Taiwan,macbook air
812,05-06-2014 9:31,publisher_update,test_group,Canada,macbook pro
824,06-06-2014 10:23,publisher_update,control_group,Italy,macbook pro
839,02-06-2014 9:31,publisher_update,control_group,Russia,macbook pro
845,04-06-2014 19:40,publisher_update,test_group,United Kingdom,iphone 5s
848,04-06-2014 16:29,publisher_update,test_group,United States,macbook air
852,02-06-2014 9:31,publisher_update,control_group,Japan,nexus 7
861,02-06-2014 9:31,publisher_update,test_group,Italy,macbook air
863,02-06-2014 9:31,publisher_update,control_group,Japan,samsung galaxy s4
880,18-06-2014 9:31,publisher_update,test_group,Italy,iphone 4s
897,03-06-2014 8:20,publisher_update,control_group,Germany,htc one
940,09-06-2014 9:31,publisher_update,test_group,Malaysia,macbook air
953,24-06-2014 9:31,publisher_update,test_group,Japan,nexus 10
955,10-06-2014 9:31,publisher_update,control_group,France,macbook pro
956,17-06-2014 9:31,publisher_update,test_group,United States,dell inspiron desktop
967,18-06-2014 9:31,publisher_update,test_group,France,macbook pro
971,18-06-2014 9:31,publisher_update,control_group,Canada,samsung galaxy note
989,03-06-2014 13:01,publisher_update,test_group,Italy,nokia lumia 635
1000,20-06-2014 9:31,publisher_update,test_group,Italy,iphone 5s
1001,13-06-2014 9:31,publisher_update,test_group,United States,nexus 10
1010,07-06-2014 13:24,publisher_update,test_group,Russia,lenovo thinkpad
1022,04-06-2014 7:11,publisher_update,test_group,United States,iphone 5s
1025,02-06-2014 9:31,publisher_update,control_group,United States,mac mini
1039,09-06-2014 9:31,publisher_update,test_group,United Kingdom,lenovo thinkpad
1047,17-06-2014 9:31,publisher_update,test_group,Japan,iphone 5s
1049,17-06-2014 9:31,publisher_update,control_group,Japan,iphone 4s
1056,03-06-2014 9:31,publisher_update,test_group,Singapore,mac mini
1057,03-06-2014 9:31,publisher_update,control_group,United States,lenovo thinkpad
1058,18-06-2014 9:31,publisher_update,test_group,Brazil,lenovo thinkpad
1059,11-06-2014 9:31,publisher_update,control_group,United States,macbook air
1078,05-06-2014 9:31,publisher_update,test_group,Germany,htc one
1080,01-06-2014 9:56,publisher_update,control_group,Sweden,dell inspiron notebook
1084,05-06-2014 9:31,publisher_update,control_group,United Kingdom,nexus 10
1085,05-06-2014 9:31,publisher_update,control_group,Germany,nexus 5
1093,02-06-2014 13:38,publisher_update,test_group,United States,dell inspiron notebook
1109,03-06-2014 15:11,publisher_update,control_group,Indonesia,dell inspiron notebook
1127,05-06-2014 19:27,publisher_update,test_group,United States,lenovo thinkpad
1130,06-06-2014 1:06,publisher_update,control_group,United States,nexus 7
1137,09-06-2014 9:31,publisher_update,test_group,United States,nexus 10
1143,23-06-2014 9:31,publisher_update,test_group,Germany,windows surface
1146,17-06-2014 9:31,publisher_update,test_group,Germany,ipad mini
1154,03-06-2014 9:31,publisher_update,control_group,Japan,macbook pro
