id,created_at,value,purchase_id
1,01-01-2019 0:00,172692,43
2,05-01-2019 0:00,177194,36
3,09-01-2019 0:00,109513,30
4,13-01-2019 0:00,164911,30
5,17-01-2019 0:00,198872,39
6,21-01-2019 0:00,184853,31
7,25-01-2019 0:00,186817,26
8,29-01-2019 0:00,137784,22
9,02-02-2019 0:00,140032,25
10,06-02-2019 0:00,116948,43
11,10-02-2019 0:00,162515,25
12,14-02-2019 0:00,114256,12
13,18-02-2019 0:00,197465,48
14,22-02-2019 0:00,120741,20
15,26-02-2019 0:00,100074,49
16,02-03-2019 0:00,157548,19
17,06-03-2019 0:00,105506,16
18,10-03-2019 0:00,189351,46
19,14-03-2019 0:00,191231,29
20,18-03-2019 0:00,120575,44
21,22-03-2019 0:00,151688,47
22,26-03-2019 0:00,102327,18
23,30-03-2019 0:00,156147,25
24,03-04-2019 0:00,192530,36
25,07-04-2019 0:00,154765,42
26,11-04-2019 0:00,113336,12
27,15-04-2019 0:00,129073,50
28,19-04-2019 0:00,123477,21
29,23-04-2019 0:00,182142,31
30,27-04-2019 0:00,116546,39
31,01-05-2019 0:00,174748,26
32,05-05-2019 0:00,155693,42
33,09-05-2019 0:00,103012,25
34,13-05-2019 0:00,187960,33
35,17-05-2019 0:00,101202,18
36,21-05-2019 0:00,112522,10
37,25-05-2019 0:00,195969,37
38,29-05-2019 0:00,117284,40
39,02-06-2019 0:00,112956,36
40,06-06-2019 0:00,174157,29
41,10-06-2019 0:00,125975,45
42,14-06-2019 0:00,110340,29
43,18-06-2019 0:00,143066,31
44,22-06-2019 0:00,153270,11
45,26-06-2019 0:00,139635,29
46,30-06-2019 0:00,157071,35
47,04-07-2019 0:00,166552,18
48,08-07-2019 0:00,197587,34
49,12-07-2019 0:00,103958,37
50,16-07-2019 0:00,111305,28
51,20-07-2019 0:00,190266,39
52,24-07-2019 0:00,116060,44
53,28-07-2019 0:00,163802,48
54,01-08-2019 0:00,188558,21
55,05-08-2019 0:00,166528,49
56,09-08-2019 0:00,141463,28
57,13-08-2019 0:00,120110,34
58,17-08-2019 0:00,159368,12
59,21-08-2019 0:00,184900,46
60,25-08-2019 0:00,190372,38
61,29-08-2019 0:00,195877,15
62,02-09-2019 0:00,143221,21
63,06-09-2019 0:00,160413,41
64,10-09-2019 0:00,183919,43
65,14-09-2019 0:00,134535,34
66,18-09-2019 0:00,188646,31
67,22-09-2019 0:00,122706,27
68,26-09-2019 0:00,160016,21
69,30-09-2019 0:00,186777,21
70,04-10-2019 0:00,165442,50
71,08-10-2019 0:00,172445,43
72,12-10-2019 0:00,167910,21
73,16-10-2019 0:00,116646,35
74,20-10-2019 0:00,163287,15
75,24-10-2019 0:00,187293,43
76,28-10-2019 0:00,144823,11
77,01-11-2019 0:00,118317,10
78,05-11-2019 0:00,166105,38
79,09-11-2019 0:00,121128,11
80,13-11-2019 0:00,177355,38
81,17-11-2019 0:00,176442,50
82,21-11-2019 0:00,129837,10
83,25-11-2019 0:00,122363,38
84,29-11-2019 0:00,125469,10
85,03-12-2019 0:00,109657,20
86,07-12-2019 0:00,108782,35
87,11-12-2019 0:00,149235,18
88,15-12-2019 0:00,187243,36
89,19-12-2019 0:00,152538,20
90,23-12-2019 0:00,178861,34
91,27-12-2019 0:00,122675,30
92,31-12-2019 0:00,104037,18
