id,country,description,designation,points,price,province,region_1,region_2,variety,winery
89695,Argentina,"Opens with hard, rubbery, leathery aromas. In the mouth, it's thick and chewy with black fruit but also an herbal edge. There's depth and plenty of oak here, and it finishes sweet and relatively smooth. Starts rough, improves in the middle, and then finishes fairly well.",Trumpeter,86,12,Mendoza Province,Mendoza,,Malbec-Syrah,Rutini
23710,Argentina,"Foxy cherry and cough drop aromas are not convincing. Feels astringent and tastes tart, with sharp but candied cherry, faux oak and milk chocolate flavors. Blends sour notes with sweet oak, all to little avail.",Family Vineyards Organic Legacy Old Vines Single Vineyard,82,25,Mendoza Province,Mendoza,,Malbec,Caligiore
139215,Argentina,"It doesn't take a great brain to figure out that this is a rocking, beautifully crafted international red wine. Mint, spice and chocolate aromas are dipped in lovely new oak, while the palate is all about bold plum backed by coffee and mocha. Stellar now and shows all signs of a wine that will only get better. Imported by Vias Imports.",NoemÃ_a,93,152,Other,RÃ_o Negro Valley,,Malbec,Bodega NoemÃ_a de Patagonia
31628,Argentina,"This warm-weather Viognier is fleshy and chunky on the bouquet, with generic white-fruit aromas that suggest gardenias. A plump palate is low on acid and heavy in weight; flavors of melon and green herbs finish soft and could turn flabby in a short time.",Reserva,84,12,Mendoza Province,Uco Valley,,Viognier,Finca El Origen
118377,Argentina,"Granular, raisiny and heavy on the nose, with jammy blackberry aromas. The palate then hits with a thud; it's chunky and low in acidity, which yields a thick flavor set of prune and coffee. Better once it breathes, but it's still a bit too sticky and syrupy for our liking.",Reserva,85,20,Mendoza Province,Mendoza,,Malbec,Bodega Norton
119041,Argentina,"The â€œoakâ€ù in the name is appropriate because this one is draped in unctuous, heavy, burnt aromas. The nose is a cloud of coconut, char and woody blackberry, while the syrupy palate is all sweet black plum, carob, mint and resin. Quite oaky and thick for a value-priced wine.",Vika Oak,83,12,Other,San Juan,,Malbec,Bodegas La Guarda
132683,Argentina,"Jammy red-fruit aromas mixed with buttery oak make for a simple, sappy nose. There's more butter on the palate in addition to solid blackberry flavors. It finishes round but short, with yet another wave of barrel. A very good wine but not one that wows.",Reserva,87,18,Mendoza Province,LujÃ¡n de Cuyo,,Malbec,Bodega Norton
44070,Argentina,"Rubbery and warm on the nose, with earthy plum and blackberry aromas. The palate is full and bouncy, with appropriate plum, berry and cassis flavors. Nice for standard New World Cab, with fig, chocolate and no buttery, sloppy oak.",,86,10,Mendoza Province,Mendoza,,Cabernet Sauvignon,Bodega Norton
129117,Argentina,"Colorful but low in pulse, with jammy, pasty aromas sitting in front of a bulky, one-dimensional palate that offers standard blackberry fruit and mildly herbal side flavors. Has just enough acidity to keep it pumping, but as a whole it comes across a little too heavy and jammy compared to previous years.",A Lisa,85,25,Other,RÃ_o Negro Valley,,Malbec,Bodega NoemÃ_a de Patagonia
47010,Australia,"Ripe indeed, with confectioner's sugar, vanilla ice cream and honey aromas that lead to a light-to-medium-bodied palate with some disjointed oak notes and a slightly oily texture. Short but pleasant finish of figs and candied lemons. Drink up.",,84,11,Australia Other,South Eastern Australia,,Chardonnay,Madison Ridge
11285,Austria,"Beautifully pure apple fruit plays on nose and palate. Citrus juice frames the fruit and heightens the freshness even more. If you like a slender, supercrisp style of Riesling, the purity of this will have you hooked.",,93,20,Kamptal,,,Riesling,Schloss Gobelsburg
28037,Austria,"Gentle red-cherry fruit, soft and pliable tannins and fresh acidity combine to make this a simple and cheerful light red for drinking now.",,83,24,Burgenland,,,BlaufrÃ_nkisch,HÃ¶pler
128257,Bulgaria,"This refreshing Chardonnayâ€”with aromas of grapefruit and lemon and flavors of zesty grapefruit and lemon zestâ€”is anchored by a weight that gives it balance. Overall, the wine finds a great middle ground and is food friendly.",,84,8,Bulgaria,,,Chardonnay,Targovishte
106022,Chile,"Slightly nutty and salinic on the nose, but mostly it's just neutral. Seems like an early maturing wine, meaning it's soft in its delivery of melon and apple flavors. Dry and a touch pithy on the finish.",Hacienda Araucano,85,12,Central Valley,,,Chardonnay,FranÃ§ois Lurton
119883,Chile,"Stalky aromas suggest corn and hayfield more than crisp fruit, and while the palate is lively and acidic, it's also kind of sour and lemony. Finishes with green apple and citrus. Jumpy and scouring.",Pionero,83,9,CuricÃ_ Valley,,,Sauvignon Blanc,MorandÃ©
81207,Chile,"This smells horsy, feral and herbal. Dry, rock-hard tannins make it feel rugged in the mouth, and it's already five years old.",,85,80,Cachapoal Valley,,,Cabernet Blend,AltaÃ¯r
141797,Chile,"Not the most Syrah-like wine you're likely to encounter, but as a generic red it's juicy, fruity and tasty. The balance is fine and the fruit weighs in solid and proper. Complete but lacking individuality.",Barrica Selection,85,15,Maipo Valley,,,Syrah,Santa Carolina
14959,France,The Jaume family's nÃ©gociant business is thriving because of wines like this that faithfully represent their terroirs while offering solid value. This raspberry- and garrigue-scented wine features ample weight framed by supple tannins that firm up on the finish. Drink nowâ€“2018.,Les Valats,89,27,RhÃ´ne Valley,Rasteau,,RhÃ´ne-style Red Blend,Alain Jaume et Fils
14710,France,"Opulent and ripe, full bodied and rich, this has notes of toast and spice as well as apricot and pear flavors. With its balanced character, it can be consumed now, but it will also age for another year.",Domaine Beranger,88,25,Burgundy,Pouilly-FuissÃ©,,Chardonnay,Georges Duboeuf
8438,France,"Big, ripe and fruity, it combines a rich character along with the firmest tannins and dense structure. Acidity adds a touch of freshness, while the structure and full fruit are concentrated and still young. Give this solid, dark wine at least until 2020.",,94,294,Burgundy,Mazis-Chambertin,,Pinot Noir,Domaine Faiveley
60642,France,"Creamy wine, flavored with pears, almonds and crisp acidity. The wine is taut and crisp at the same time. The aftertaste, otherwise fresh, is spoilt by a yeasty bitterness.",Saint-Meyland Brut,82,17,France Other,Vin Mousseux,,White Blend,Caves de Marsigny
124763,France,"From a small appellation in the north of the MÃ¢connais, producing reds as well as whites, this is initially a mineral, citric wine, which broadens out with toast, fresh acidity and a good weight, with lychee and yellow fruits.",,85,,Burgundy,MÃ¢con-Mancey,,Chardonnay,Henri de Villamont
110923,France,"A full, balanced wine with layers of grapefruit and a pure citrus streak. Secondary flavors of almonds and toast add complexity. This is not profound, but it is eminently enjoyable.",Brut,89,50,Champagne,Champagne,,Champagne Blend,Chartogne-Taillet
83955,France,"A solid and very drinkable wine, the forward black fruit elements are accented by hints of fudge and sweet spice on the finish Drink now.",RÃ©serve St. Martin,84,8,Languedoc-Roussillon,Pays d'Oc,,Merlot,Les Vignerons de la MÃ©diterranÃ©e
131578,France,"The extra amount of clay in the soil of this vineyard lends weight, richness and roundness. At the same time, it has fresh lime, an open character and a soft structure.",Vaucoupin Premier Cru,88,42,Burgundy,Chablis,,Chardonnay,Domaine Grossot
30763,France,"Tropical fruit aromas lead to a peach- and apricot-flavored palate. It shows old-vine concentration, spice from having aged in wood and a generous, velvet-like texture that is balanced by a fine shot of lemony acidity. Age this for 4â€“5 years.",Vieilles Vignes,92,62,Burgundy,Meursault,,Chardonnay,Roche de Bellene
37483,France,"Produced by the winemaking team of ChÃ¢teau Giscours in Margaux, this is impressive for a simple Bordeaux. It has weight, rich blackberry fruits, structure and concentration. It could even age.",,89,,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Petite SirÃ¨ne
129536,France,"This is all tannin, bitter chocolate and a dense texture. It seems to be drying out as the fruit goes, while there are few signs of softening. It suffers from the heat of 2003.",Tradition,82,,Bordeaux,Premieres CÃ´tes de Bordeaux,,Bordeaux-style Red Blend,ChÃ¢teau Cabredon
94438,Germany,"A lush and enormously fruity auslese, this offering features layers of appealingly ripe fruit, ranging from honeyed peaches to tropically luscious mangoes. If it's a bit fat and lacks a touch of zip, it makes up for it with sheer deliciousness.",Piesporter GoldtrÃ¶pfchen Auslese *** Goldkap,91,27,Mosel-Saar-Ruwer,,,Riesling,Bollig-Lehnert
133764,Germany,"Despite notes of honey and baked apple, this is an almost dry wine, boasting plenty of weight in the mouth. Orangey flavors pick up hints of peach and dried spices, turning stony on the finish.",,89,20,Pfalz,,,Riesling,A. Christmann
107120,Germany,"This wonderful auslese offers volume and richness without weightâ€”it's a sort of fluffy custard in texture, loaded with funky, leesy notes on the nose but also with passion fruit, green apple and pineapple notes on the palate. Yes, it's sweet, but the acids provide beautiful balance on the finish. Drink nowâ€“2025.",Atsberg Auslese 149,92,58,Mosel,,,Riesling,Maximin GrÃ_nhÃ_user
811,Greece,"Crisp acidity and a gorgeous, aromatic nose lead on this elegant white. Though mineral-driven, it offers generous white peach and grapefruit flavors that will pair well with fuller-bodied fish. Impressive and versatile.",,90,20,Santorini,,,Assyrtiko,Santo Wines
127077,Italy,"This luminous sparkler offers measured aromas of yellow fruit and honey and delivers a broad, wide approach in the mouth. The wine's texture is creamy and full and there is a spicy point of effervescence on the palate.",Extra Dry,85,19,Veneto,Prosecco di Valdobbiadene,,Prosecco,Varaschin
124140,Italy,"This is a simple and cheerful Nero d'Avola that would pair well with white meats such as roast chicken or pork. Aromas here include blueberry, forest berry and there's a touch of bitter almond on the close.",Regaleali,86,12,Sicily & Sardinia,Sicilia,,Nero d'Avola,Tasca d'Almerita
69928,Italy,"Oak tonneaux aging renders a rounder, softer and easier-to-drink Brunello. Beautiful layers of aromatic intensity include white mushroom, herbal notes, sweet cedar wood, tobacco, vanilla and cherry. Imported by Tutto Vino.",I Poggiarelli,90,50,Tuscany,Brunello di Montalcino,,Sangiovese,La Mannella
88413,Italy,"Known for its panoramic, family-run bed & breakfast, Ca' du RabajÃ 's base Barbaresco offers a light, bright appearance with aromas of white chocolate, vanilla, orange zest and wild berry. There's smoke, licorice and tar in there as well and the wine offers a tart but drying finish.",,90,24,Piedmont,Barbaresco,,Nebbiolo,Ca' du RabajÃ 
145698,Italy,"Well oaked and woodsy, with some earthy nuances as well as scents of campfire and rubber. This is a youngster with aggressive tannins and sharp edges. With a bit of time it'll soften, leaving a top-flight wine with cherry, citrus rind and a hint of sweet oak.",,90,63,Tuscany,Brunello di Montalcino,,Sangiovese,Il Poggione
58812,Italy,"A sweet-smelling Soave with simple aromas of peach, pear and honey presented in a very direct and immediate manner. It's thick and compact on the finish with loads of pineapple-like flavors.",CÃ  Visco,87,18,Veneto,Soave Classico,,Garganega,Coffele
102095,Italy,"This is a fresh and light Extra Dry style Prosecco with a luminous appearance and tonic bubbles. The aromas recall citrus, white flower and peach and the bubbly wine would taste great as an aperitivo.",CuvÃ©e Extra Dry,86,18,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,CarpenÃ¨ Malvolti
133613,Italy,"This Brut SatÃ¨n offers a creamy mouthfeel accented by cheerful tones of yellow fruit, almond and dried apricot. There is crispness here and the tonic bubbles help keep the palate clean for your next sip.",Brut SatÃ¨n,90,39,Lombardy,Franciacorta,,Chardonnay,Contadi Castaldi
128216,Italy,"PajÃ© is a beautiful amphitheater of vines in Barbaresco known for finesse and elegance. This older vintage maintains very good integrity of fruit that is enhanced by layers of black licorice, mineral notes, ash, tobacco and cola. But at the heart of it all is a blast of red cherry. It's a vertical, intense and streamlined wine that is ready to drink now.",CrichÃ«t PajÃ©,93,190,Piedmont,Barbaresco,,Nebbiolo,Roagna
72945,Italy,"Here's a lovely sparkling wine that offers a floral fragrance of white flowers and tropical fruit. The palate delivers apple, white peach and a hint of almond. It has a creamy texture and a clean, crisp finish. A classic Franciacorta.",Brut,91,29,Lombardy,Franciacorta,,Sparkling Blend,Il Mosnel
103920,Italy,"Here's an oak-driven Sauvignon Blanc from the 2004 vintage with a thick layer of toast, nut and campfire that play a leading role and leave little room for the wine's natural fruit and floral tones. Those carpentry notes also dominate the mouthfeel and add a piquant touch of exotic spice on the close. That said, this white wine has held very well over the years.",Ronco del Re,87,55,Central Italy,ForlÃ¬,,Sauvignon Blanc,Castelluccio
137840,Italy,"Typical of this hot vintage, La Fiammenga is already quite mature. The fruit is on the plummy side, it has the added complexity of licorice and road tar. On the palate, it is soft and rich but it does need a touch of acid to liven it up. Imported by Sapori Italiani Inc.",,87,28,Piedmont,Barbaresco,,Nebbiolo,La Fiammenga
150557,Italy,"The modest cherry, dark berry and black tea notes of this light wine show tell-tale orange-peel notes of decline. This feels just too thin and tired at an early age.",,81,15,Tuscany,Chianti Classico,,Sangiovese,Valiano
14408,Italy,"With its thick density and slightly off-dry flavors of raisin, cassis, honey and liquid smoke, this would pair with hearty country pÃ¢tÃ© or meat terrines. Its alcohol, mild tannins and fresh-fruit finish would also work with those fatty foods.",Zane,88,22,Veneto,Valpolicella Classico Superiore Ripasso,,"Corvina, Rondinella, Molinara",Carlo Boscaini
6168,Moldova,"This 100% Feteasca Neagra has aromas of fresh strawberry and red plum. It is soft on entry into the mouth and has flavors of dried cherries, cloves and prunes.",,88,12,Moldova,,,Feteasca Neagra,Vinaria din Vale
136867,New Zealand,"This is a pretty, delicately perfumed Pinot Noir, with elegantly intertwined cherry and herb notes. It's light to medium in body, with a finish that shows just a touch of sinewy intensity. Drink it over the next year or so.",,87,18,Marlborough,,,Pinot Noir,Dashwood
131891,New Zealand,"This medium-bodied Riesling combines relatively high alcohol (13%) with ample residual sugar to add even greater richness and mouthfeel. But because of its excellent levels of acidity, it doesn't come across as particularly sweet or heavy. Tangerine, apple and spice notes linger elegantly on the finish.",Rastasburn,90,25,Central Otago,,,Riesling,Peregrine
59388,New Zealand,"This attractively priced Pinot Noir combines fruit from Nelson and Marlborough to create a fresh, snappy blend of plum and black cherry fruit. Some slightly briary-herbal notes and silky tannins add interest, smoothed out by hints of brown sugar and baking spices. Drink nowâ€“2012.",,88,20,New Zealand,,,Pinot Noir,Catalina Sounds
76671,Portugal,"A splendid Alvarinho, produced in the southern Vinho Verde region, with ripe creaminess as well as shafts of lime juice and grapefruit. It's ready to drink, while it could age for another year.",,91,13,Minho,,,Alvarinho,Aveleda
65643,Portugal,"A fine, elegant wood-aged wine. It has ripe fruits, sweet peach, apricot, mango, while the vanilla of toast lifts all the flavors, adding spicy smoothness. Acidity comes from fresh lime. It could do with some aging, maybe 2â€“3 years.",Escolha Branco,89,19,Bucelas,,,Arinto,Quinta do BoiÃ§Ã£o
137681,Portugal,"A success in the sweeter Vinho Verde category. There is pleasant softness, flavors of green berries, grapefruit with sugar and freshness.",Santola,84,6,Vinho Verde,,,Portuguese White,Messias
146870,South Africa,"A fairly big wine, with big tannins and high acidity, that lets its flavors do the talking. Lush purple fruit and coffee is streaked with lemon and mineral. A bit tart on the finish, but with food this is enjoyable for its swagger.",,87,20,South Africa,,,Cabernet Sauvignon,The Berrio
189,Spain,"Coffee grinds, raisin and baked aromas suggest overripeness. This is heavy, broad and a bit clumsy on the palate. Berry and prune flavors are solid but not overly fresh, while the finish is full and raisiny as it improves over time.",Negre,87,22,Catalonia,Montsant,,Red Blend,Jaspi
129416,Spain,"A bit murky and damp on the nose, with brandied fruit and raisin aromas. The palate is solidly formed, with basic raspberry flavors but not much follow through as the finish shows buttery, soft flavors. Inoffensive but more generic than individual.",,85,22,Northern Spain,Ribera del Duero,,Red Blend,Atalayas de GolbÃ¡n
39970,Spain,"Quite an oaky wine, with aromas of BBQ, hickory, roasted plum and spice. The body is full but scratchy, with additional oak manifesting itself in the form of baked, rooty, vanilla flavors that override the wine's simple but quiet fruit content. Finishes dark and toasty, with coffee, mocha and vanilla flavors.",Corona d'AragÃ_n Reserva,85,18,Northern Spain,CariÃ±ena,,Red Blend,Grandes Vinos y ViÃ±edos
70740,Spain,"CUNE is a throwback bodega whose wines won't appeal to followers of the new wave. And since I consider myself a backer of the modern style, I found this wine too obtuse, funky and borderline dirty to rate higher. It's full of mossy, stewy flavors and the feel is heavy. Traditionalist, however, may find it worthy of greater praise.",Imperial Gran Reserva,84,60,Northern Spain,Rioja,,Tempranillo,CVNE
8670,Turkey,"A nose of strawberry and mint with a whiff of petrol sets the scene for flavors of cassis, cherry preserves, peach and eucalyptus that never quite coalesce. Soft tannins drop off immediately after a burst of white peach at the finish.",,86,15,Turkey,,,Kuntra,Ã‡amlibaÄŸ
126576,US,"Rich and round, this offers plenty of concentrated blackberry notes enveloped in warm spices and supple oak. There's a hint of green tomato leaves throughout, but the lush fruit combined with sturdy grape tannins and high acidity would pair well with fatty short ribs or braised pork.",Estate Club,87,32,Virginia,Virginia,,Merlot,Veramar
143029,US,"There are some pretty features to this wine, namely the lovely tannins and rich fruit, but it's just too soft and sweet. Tastes like blackberry jam, with extra white sugar spinkled on top.",Signature,83,45,California,Paso Robles,Central Coast,Cabernet Sauvignon,Byington
98813,US,"Lovely nose, which runs from violets and cherries right into coffee and sweet chocolate. In the mouth the wine coats the palate with Napa-like intensity, only buttressed with more vivid acidity. It's both smooth and deep. The aromas are more detailed, interesting and really clean, loaded with dark flavors of soy, coffee, molasses and black cherry liqueur.",Champoux & Loess Vineyards Reserve,93,100,Washington,Washington,Washington Other,Cabernet Sauvignon,Boudreaux Cellars
43172,US,"Tastes sweeter and fruitier than the 2009, which was dry, so if you like orange marmalade, pineapple tart and vanilla cookie sugariness in your Sauvignon Blancs, it's for you.",Les Pionniers,86,40,California,Sonoma County,Sonoma,Sauvignon Blanc,Capture
115487,US,"This was a very good vintage for Goldeneye, the best since '01. The fruit got ripe, offering up a big mouthful of jammy cherry and raspberry flavors accented with sweet oak. The tannin-acid balance is just great. It's delicious, yet has all kinds of complex edges and nuances.",,93,52,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Goldeneye
77153,US,"Shows classic varietal flavors of cherries, raspberries and Dr. Pepper, with a sweet edge of smoky oak. Enjoyable now for its forward fruit and silky texture.",,86,17,California,California,California Other,Pinot Noir,Donovan-Parke
131535,US,"A very nice, casual Merlot that has layers of complex elegance beyond just the fruit. And what fruit it is, ripe and sweet in cherry pie, raspberry cream, cola and vanilla, with a splash of cassis. Fortunately, there's enough acidity and tannin for balance.",Crimson Creek,88,27,California,Napa Valley,Napa,Merlot,Pine Ridge
44672,US,"A tough, gritty little Pinot Noir, not quite ripe. It smells and tastes of green mint and peppercorns, alongside the cherries and cola, and is rugged in texture.",,85,17,California,Central Coast,Central Coast,Pinot Noir,Santa Barbara Winery
